IPT0342,IPT,Infrastructure,NCI,SUPPLIER A,B200 M5,FCH230570ZK,Virtual,VMWare,VMWARE ESXI SERVER,64, 6.5,PRD
IPT0278,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230570V0,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0308,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230570V0,Virtual,Linux,Linux RHEL 6,64,7.6,PRD
IPT0315,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230570V0,Virtual,Linux,Linux RHEL 6,64,6 (64-bit),PRD
IPT0318,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230570V0,Virtual,Linux,Linux RHEL 6,64,6 (64-bit),PRD
IPT0340,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230570V0,Virtual,Linux,Linux RHEL 7,64,7 (64-bit),PRD
IPT0266,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047BUK,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0283,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047BUK,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0307,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047BUK,Virtual,Linux,Linux,64,64-bit),PRD
IPT0265,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B9W,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0281,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B9W,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0284,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B9W,Virtual,Linux,CentOS 6 (64-bit),64,6 (64-bit),PRD
IPT0287,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B9W,Virtual,Linux,CentOS 7 (64-bit),64,7 (64-bit),PRD
IPT0306,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B9W,Virtual,Linux,Linux,64,unknown,PRD
IPT0309,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B9W,Virtual,Linux,Linux RHEL 6,64,7.6,PRD
IPT0260,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B46,Virtual,Linux,Linux CentOS,64,7 (64-bit),PRD
IPT0280,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B46,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0321,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B46,Virtual,Windows,Windows 2019,64,2019 (64-bit),PRD
IPT0333,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B46,Virtual,Windows,Windows 2019,64,2019 (64-bit),PRD
IPT0336,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH23047B46,Virtual,Linux,Linux RHEL 6,64,6.10,PRD
IPT0277,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230475P7,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0285,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230475P7,Virtual,Linux,CentOS 6 (64-bit),64,6 (64-bit),PRD
IPT0361,IPT,APPLICATION,ALF,SUPPLIER A,UCSB-B200-M5,FCH230475P7,Virtual,Linux,Red Hat Enterprise Linux 7 (64-bit),64,7,PRD
IPT0276,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH230475NX,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0037,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976U1,Virtual,Linux,Linux SUSE,64,11 (64-bit),PRD
IPT0270,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976U1,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0317,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976U1,Virtual,Linux,Linux RHEL 6,64,6 (64-bit),PRD
IPT0035,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976C4,Virtual,Linux,Linux SUSE,64,11 (64-bit),PRD
IPT0036,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976C4,Virtual,Linux,Linux SUSE,64,11 (64-bit),PRD
IPT0254,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976C4,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0267,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976C4,Virtual,Linux,Linux CentOS,64,4/5 or later (64-bit),PRD
IPT0271,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976C4,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0293,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976C4,Virtual,Linux,CentOS 7 (64-bit),64,7 (64-bit),PRD
IPT0300,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976C4,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0323,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976C4,Virtual,Linux,Linux RHEL 6,64,7.9,QUA
IPT0251,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976B1,Virtual,Linux,CentOS 4/5/6/7 (64-bit),64,4/5/6/7 (64-bit),PRD
IPT0256,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976B1,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0273,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976B1,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0252,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976A8,Virtual,Windows,Windows 2019,64,2019 (64-bit),PRD
IPT0314,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213976A8,Virtual,Linux,Linux RHEL 6,64,6 (64-bit),PRD
IPT0343,IPT,Infrastructure,NCI,SUPPLIER A,B200 M4,FCH213976A8,Virtual,VMWare,VMWARE ESXI SERVER,64, 6.5,PRD
IPT0237,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21397663,Fisica,VMWARE,VMware ESXi 5.5.0 build-3248547,64,5.5.0 build-3248547,PRD
IPT0262,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M4,FCH21397663,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0289,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M4,FCH21397663,Virtual,Linux,Linux CentOS,64,7 (64-bit),PRD
IPT0331,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M4,FCH21397663,Virtual,Linux,Linux RHEL 6,64,8.3,PRD
IPT0039,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213973ZK,Virtual,Linux,Linux SUSE,64,11 (64-bit),PRD
IPT0042,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213973ZK,Virtual,Linux,Linux SUSE,64,11 (64-bit),PRD
IPT0182,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213973ZK,Virtual,Windows,Windows 2012,64,6.3.9600  Server 2012 R2 Std x64,PRD
IPT0268,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH213973ZK,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
